nombre,lat,lon
Talca,-35.4264,-71.6554
Constitución,-35.3333,-72.4167
Curepto,-35.0833,-71.9
Empedrado,-35.5833,-71.95
Maule,-35.5,-71.6667
Pelarco,-35.3333,-71.4167
Pencahue,-35.3833,-71.8
Río Claro,-35.5333,-71.3833
San Clemente,-35.5333,-71.5
San Rafael,-35.3667,-71.5
Cauquenes,-35.9667,-72.3167
Chanco,-35.7333,-72.5333
Pelluhue,-35.8167,-72.5667
Curicó,-34.9822,-71.2397
Hualañé,-34.9833,-71.8167
Licantén,-34.9833,-72.0
Molina,-35.1167,-71.2833
Rauco,-34.8833,-71.3167
Romeral,-34.75,-71.0
Sagrada Familia,-34.9667,-71.3833
Teno,-34.8667,-71.1667
Vichuquén,-34.8667,-72.0167
Linares,-35.85,-71.5833
Colbún,-35.6833,-71.4333
Longaví,-35.9667,-71.6833
Parral,-36.15,-71.8333
Retiro,-36.05,-71.7667
San Javier,-35.5833,-71.7333
Villa Alegre,-35.6667,-71.75
Yerbas Buenas,-35.7167,-71.5667
